month,max_temp,min_temp,mean_temp
1982-01,31.9,21.9,25.9
1982-02,34.3,22.6,27.1
1982-03,34.3,22.3,27.2
1982-04,33.2,22.2,27
1982-05,32.9,23.7,28
1982-06,33.3,23.1,28.4
1982-07,33,22.1,28.2
1982-08,33.2,21.9,27.7
1982-09,33.2,23.5,27.9
1982-10,33.8,22.6,27.4
1982-11,34.3,23.1,27.3
1982-12,33,22.8,26.2
1983-01,32.1,23,26.5
1983-02,34.6,23.1,28.1
1983-03,35.8,24.3,28.9
1983-04,35.8,23.5,29.4
1983-05,34,23.5,28.3
1983-06,33.6,21.3,28.3
1983-07,33,21.4,27.6
1983-08,32.7,22.1,28.1
1983-09,32.8,22.4,27.2
1983-10,33.7,22.4,27.6
1983-11,32.6,21.3,26.6
1983-12,31.3,21.9,25.4
1984-01,31.7,21.2,25.5
1984-02,31.5,21.1,25.8
1984-03,32.8,22.1,26.5
1984-04,32.7,22.7,27.3
1984-05,32.9,21.9,27.3
1984-06,32.7,21.4,27.5
1984-07,33,22.5,27.2
1984-08,32.8,22.4,27.4
1984-09,32.4,21,26.8
1984-10,33.4,21.2,27.4
1984-11,32.7,22.8,26.5
1984-12,32.2,22,26
1985-01,33,22.2,26.6
1985-02,33.7,22.2,27
1985-03,33.3,23.1,27.1
1985-04,34.2,22.4,27.5
1985-05,33.6,23.5,28
1985-06,35,23.4,28.2
1985-07,33.3,21,27
1985-08,33,21.3,27.7
1985-09,32.5,22.1,26.9
1985-10,33.4,21.7,26.7
1985-11,33,22.5,26.6
1985-12,32.4,22.9,26.1
1986-01,31.4,21.5,25.7
1986-02,33.2,22.5,26.9
1986-03,32.7,22.6,26.4
1986-04,32.8,22.4,27.4
1986-05,33.4,22,28.2
1986-06,33.2,22.2,27.9
1986-07,33.2,21.9,27.9
1986-08,34.2,21.9,28.3
1986-09,32.4,21.2,26.7
1986-10,32.6,22.5,26.9
1986-11,32.8,22.8,26.6
1986-12,32,22.5,26.3
1987-01,31.4,22.1,25.5
1987-02,33,22.8,26.6
1987-03,33.3,23,27.5
1987-04,34.6,22.5,27.9
1987-05,33.2,22.4,27.6
1987-06,33.5,22,28.7
1987-07,33.7,22.5,28.1
1987-08,33.8,22.5,27.4
1987-09,33.6,21.2,27.6
1987-10,33.7,23.5,27.9
1987-11,33.3,22.9,27.3
1987-12,32.8,22.7,26.4
1988-01,33.1,23.2,26.8
1988-02,33.8,23.6,27.1
1988-03,34.7,22.5,27.3
1988-04,33.7,24.2,27.8
1988-05,34.2,23.3,28.4
1988-06,33.6,22.2,28
1988-07,33.8,21,27.3
1988-08,32.7,22.6,27
1988-09,33.3,21.7,27.1
1988-10,34.5,22.4,27.5
1988-11,32.8,22.1,26.3
1988-12,31.6,23,26.2
1989-01,32.8,22.6,26.5
1989-02,33.3,22.3,26.6
1989-03,32.5,22.6,26.3
1989-04,34.5,21.9,27
1989-05,33.3,21.2,27.3
1989-06,33.2,22.3,27.5
1989-07,32.7,22.2,27.7
1989-08,33.3,21.5,27.1
1989-09,32.7,21.3,26.9
1989-10,32.9,21.1,27.1
1989-11,32.8,22.6,26.7
1989-12,32,22.5,26.3
1990-01,32.1,22.4,26.2
1990-02,34,24,27.6
1990-03,34.7,21.4,28.2
1990-04,35,23.1,28.5
1990-05,34.6,23,28.6
1990-06,33.8,21.9,28.3
1990-07,33.5,22.6,27.5
1990-08,33.9,21.1,28
1990-09,33.3,21.2,27.2
1990-10,33.3,23.7,27.5
1990-11,34,22.4,27.2
1990-12,31.8,22.9,26.3
1991-01,33.1,22.7,26.7
1991-02,33.5,22.7,27.1
1991-03,34,22.5,27.8
1991-04,34.1,22.8,27.7
1991-05,33.2,22.6,27.7
1991-06,33.6,23.5,28.6
1991-07,34,23.1,28.5
1991-08,33.6,22.4,28.2
1991-09,32.5,23,27.5
1991-10,33.4,22.9,27.5
1991-11,32.6,22,26.3
1991-12,31.5,22.2,25.6
1992-01,31.8,22.1,26.6
1992-02,33.1,22.3,27.5
1992-03,34.7,22.9,28.2
1992-04,34.6,22.5,28.4
1992-05,34.1,23.5,28.1
1992-06,33.6,21.1,28
1992-07,33.5,22.1,27.3
1992-08,33.6,21.7,27.8
1992-09,34,22.9,27.3
1992-10,32.9,22.9,27.4
1992-11,32,22.5,26.1
1992-12,31.4,22.2,25.5
1993-01,31.6,21.9,26.2
1993-02,32.7,22.7,26.7
1993-03,32.2,22.3,26.7
1993-04,33.5,21.7,27.6
1993-05,34.2,22.5,28.2
1993-06,33.3,22.7,28.5
1993-07,32.8,22.5,27.9
1993-08,33.9,22,28.6
1993-09,33.2,22.7,27.9
1993-10,33.2,22.5,27.5
1993-11,32.5,22.7,26.9
1993-12,32.9,22.4,26.5
1994-01,32.4,23.1,26.9
1994-02,32.5,22.6,27
1994-03,32.2,22.9,26.8
1994-04,33.6,23.2,27.9
1994-05,32.6,22.6,28.1
1994-06,33.1,22.2,28.1
1994-07,32.7,20.5,28.4
1994-08,32.9,22.5,28.1
1994-09,34.1,22,28.3
1994-10,34.2,22.7,27.9
1994-11,32.5,22.4,26.7
1994-12,32.6,22,26.9
1995-01,32.8,21.8,26.8
1995-02,32.4,22.6,26.5
1995-03,33.2,23.1,27.6
1995-04,33.5,23.5,27.9
1995-05,34,23.2,28.5
1995-06,34,24.3,28.9
1995-07,33,22.8,28
1995-08,32.4,22.8,27.4
1995-09,33,22.6,28.3
1995-10,34.1,22.9,27.8
1995-11,33.3,22.5,27
1995-12,32.5,22.5,26.3
1996-01,32.5,22.1,26.2
1996-02,32,22.3,26.5
1996-03,34.4,22.2,27.8
1996-04,33.6,23.2,27.8
1996-05,33.3,22.9,28.5
1996-06,33.9,22.1,28.3
1996-07,33.3,22.1,28.3
1996-08,33.1,22.3,27.4
1996-09,33.2,22.3,27.7
1996-10,33.1,22.9,27.5
1996-11,33.6,22.4,27.3
1996-12,33,22.6,26.6
1997-01,33.3,23.1,27.1
1997-02,33.7,22.3,27.4
1997-03,34.2,23.7,28.1
1997-04,34.4,22.3,28.1
1997-05,35.1,24.7,29.3
1997-06,34.7,23.6,29.3
1997-07,34,23.6,28.8
1997-08,34,22,28.8
1997-09,33.8,24.1,28.8
