"date","kWh"
1956-01-01,3.923
1956-04-01,4.436
1956-07-01,4.806
1956-10-01,4.418
1957-01-01,4.339
1957-04-01,4.811
1957-07-01,5.259
1957-10-01,4.735
1958-01-01,4.608
1958-04-01,5.196
1958-07-01,5.609
1958-10-01,4.977
1959-01-01,4.883
1959-04-01,5.744
1959-07-01,6.035
1959-10-01,5.514
1960-01-01,5.387
1960-04-01,6.211
1960-07-01,6.659
1960-10-01,5.983
1961-01-01,5.709
1961-04-01,6.458
1961-07-01,6.875
1961-10-01,6.162
1962-01-01,6.098
1962-04-01,7.075
1962-07-01,7.595
1962-10-01,6.891
1963-01-01,6.707
1963-04-01,7.874
1963-07-01,8.555
1963-10-01,7.503
1964-01-01,7.469
1964-04-01,8.829
1964-07-01,9.513
1964-10-01,8.415
1965-01-01,8.17
1965-04-01,9.503
1965-07-01,10.306
1965-10-01,9.077
1966-01-01,8.65
1966-04-01,10.18
1966-07-01,11.234
1966-10-01,9.836
1967-01-01,9.49
1967-04-01,10.991
1967-07-01,12.17
1967-10-01,10.47
1968-01-01,10.087
1968-04-01,11.858
1968-07-01,13.198
1968-10-01,11.413
1969-01-01,11.136
1969-04-01,13.04
1969-07-01,14.248
1969-10-01,12.759
1970-01-01,12.328
1970-04-01,14.493
1970-07-01,15.664
1970-10-01,13.781
1971-01-01,13.299
1971-04-01,15.23
1971-07-01,16.667
1971-10-01,14.484
1972-01-01,13.838
1972-04-01,15.919
1972-07-01,17.149
1972-10-01,15.564
1973-01-01,15.024
1973-04-01,17.064
1973-07-01,18.512
1973-10-01,16.467
1974-01-01,16.249
1974-04-01,18.515
1974-07-01,20.377
1974-10-01,17.681
1975-01-01,16.692
1975-04-01,19.184
1975-07-01,20.078
1975-10-01,18.26
1976-01-01,18.023
1976-04-01,20.234
1976-07-01,22.272
1976-10-01,19.684
1977-01-01,19.031
1977-04-01,21.545
1977-07-01,23.27
1977-10-01,20.107
1978-01-01,20.084
1978-04-01,22.634
1978-07-01,24.494
1978-10-01,21.396
1979-01-01,21.323
1979-04-01,23.644
1979-07-01,25.994
1979-10-01,22.802
1980-01-01,22.604
1980-04-01,24.51
1980-07-01,26.69
1980-10-01,24.132
1981-01-01,23.639
1981-04-01,26.32
1981-07-01,28.345
1981-10-01,24.89
1982-01-01,24.675
1982-04-01,27.122
1982-07-01,28.59
1982-10-01,25.371
1983-01-01,24.687
1983-04-01,27.285
1983-07-01,29.29
1983-10-01,26.684
1984-01-01,26.641
1984-04-01,29.042
1984-07-01,31.856
1984-10-01,28.343
1985-01-01,28.982
1985-04-01,30.838
1985-07-01,33.165
1985-10-01,29.648
1986-01-01,29.506
1986-04-01,32.002
1986-07-01,34.375
1986-10-01,31.046
1987-01-01,31.015
1987-04-01,33.685
1987-07-01,35.85
1987-10-01,33.211
1988-01-01,33.142
1988-04-01,34.664
1988-07-01,37.154
1988-10-01,35.303
1989-01-01,36.905
1989-04-01,37.333
1989-07-01,40.413
1989-10-01,36.579
1990-01-01,37.016
1990-04-01,39.103
1990-07-01,41.067
1990-10-01,37.653
1991-01-01,37.554
1991-04-01,38.752
1991-07-01,41.424
1991-10-01,38.101
1992-01-01,38.332
1992-04-01,39.774
1992-07-01,42.246
1992-10-01,38.498
1993-01-01,39.46
1993-04-01,41.356
1993-07-01,42.949
1993-10-01,40.974
1994-01-01,40.162
1994-04-01,41.199
1994-07-01,44.095
1994-10-01,41.745
1995-01-01,41.768
1995-04-01,43.686
1995-07-01,46.022
1995-10-01,42.8
1996-01-01,43.661
1996-04-01,44.707
1996-07-01,46.326
1996-10-01,43.346
1997-01-01,43.938
1997-04-01,45.828
1997-07-01,48.448
1997-10-01,46.096
1998-01-01,46.198
1998-04-01,47.237
1998-07-01,49.041
1998-10-01,46.192
1999-01-01,48.089
1999-04-01,48.227
1999-07-01,49.784
1999-10-01,47.588
2000-01-01,49.32
2000-04-01,50.67
2000-07-01,52.623
2000-10-01,49.35
2001-01-01,51.658
2001-04-01,51.103
2001-07-01,52.226
2001-10-01,50.778
2002-01-01,50.639
2002-04-01,51.486
2002-07-01,53.299
2002-10-01,51.646
2003-01-01,51.415
2003-04-01,51.379
2003-07-01,54.808
2003-10-01,52.453
2004-01-01,54.561
2004-04-01,54.644
2004-07-01,55.915
2004-10-01,52.85
2005-01-01,55.035
2005-04-01,55.117
2005-07-01,56.043
2005-10-01,54.992
2006-01-01,57.112
2006-04-01,57.157
2006-07-01,58.4
2006-10-01,56.249
2007-01-01,56.244
2007-04-01,55.036
2007-07-01,59.806
2007-10-01,56.411
2008-01-01,59.118
2008-04-01,56.66
2008-07-01,64.067
2008-10-01,59.045
2009-01-01,58.368
2009-04-01,57.471
2009-07-01,58.394
2009-10-01,57.336
2010-01-01,58.309
2010-04-01,58.041
